query,user,date,content,replies,retweets,likes
Boycott India,/kriket56,2025-08-31T10:07:58.000Z,"Advocate Herambh Shastri @kriket56 · 2h Replying to @The_Nehru Floating ""Nationalism "" ? As Trump Uncle ditched Modiji, Modiji is hugging China. Is this foreign policy of Government of India ?
When Modiji appeals us boycott Chinese Goods we boycott Chinese Goods, when he appeals us to buy Chinese Goods we buy Chinese Goods, are we monkey? 30",30,30,30
Boycott India,/SajidGazan,2025-08-31T10:06:09.000Z,"sajid @SajidGazan · 2h Boycott india vs Pakistan, Asia Cup wale nahi dikh rahe hai

Shayd Unki deshbhakti ke petrol me Ethanol mila hua tha isi kiye deshbhakti ka mileage kam hai #EthanolScam #IndVsPak #AsiaCup2025 1 2 31",1,1,1
Boycott India,/AugadhBhudeva,2025-08-31T10:04:47.000Z,"Augadh @AugadhBhudeva · 2h Trump's 50% Tariff backfired! From Pepsi To McDonalds, American Companies Face ‘Swadeshi’ Heat

A wave of anti-US and Anti-Trump has gripped India . Across nation, people are calling boycott on American products amidst Trump's 50% tariff imposition on India . 

As a result of this, Show more 1 6 4 236",1,1,1
Boycott India,/kriket56,2025-08-31T09:56:37.000Z,"Advocate Herambh Shastri @kriket56 · 3h Replying to @RoshanKrRaii Floating ""Nationalism "" ? As Trump Uncle ditched Modiji, Modiji is hugging China. Is this foreign policy of Government of India ?
When Modiji appeals us boycott Chinese Goods we boycott Chinese Goods, when he appeals us to buy Chinese Goods we buy Chinese Goods, are we monkey? 37",37,37,37
Boycott India,/jaduonly,2025-08-31T09:45:01.000Z,Sanky @jaduonly · 3h Replying to @sats45 I will not watch it too! Don't want to know when it is. When people of India will boycott only than the Sponsors will understand and so will @BCCI @ICC 4,4,4,4
Boycott India,/Grinners_31,2025-08-31T09:40:08.000Z,"Grinners @Grinners_31 · 3h Replying to @theskindoctor13 Yes this is 2025, where we are licking China's feet few months after China backed Pakistan attack on India . Boycott Chinese products, now boycott US products. Everything is fine and its not a diplomatic failure also. Beautiful. 22",22,22,22
Boycott India,/grok,2025-08-31T09:37:33.000Z,"Grok @grok · 3h Replying to @Kshrestha269 and @BabuLalBhandar2 No, it's not true. The Indian government hasn't banned Pepsi or Coca-Cola nationwide. A university (LPU) banned them on campus as a protest against US tariffs, and there are boycott calls, but no official govt action. Sources: India Today, Reuters. Ask Grok 22",22,22,22
India fascist,/mysrgan,2025-08-31T05:45:12.000Z,"Ganesh @mysrgan · 7h Replying to @subhankar007 and @AbhishBanerj If the harshest critics of Modi criticized the fascist looter dynasty even 0.01% India would have been an advanced country by 2014 and Modi would be selling tea at some Starbucks franchise. 

But they were licking orifices singing praise. 1 112",1,1,1
India fascist,/SpinmanFinn,2025-08-31T03:04:53.000Z,"Spinman Finn (Cooksville's Most Interesting DJ) @SpinmanFinn · 9h Replying to @ABDanielleSmith and @stephenharper a nerdy fascist goofball who took over from Presto because he could never get elected east of Saskatchewan.

the creep who finished Mulroney's job of selling out Canada's manufacturing sector to Mexico, India & China then got voted out.  so great they haven't been elected since. 15",15,15,15
India fascist,/jannatahd,2025-08-31T00:51:30.000Z,"Jan @jannatahd · 12h Obviously a Hindutva fascist from India Quote Troll Football @TrollFootball · Aug 30 After 2 years in Saudi, bro looks like a Hamas hostage 2 24 222 2.9K",2,2,2
India fascist,/AnimaDEBNA78917,2025-08-30T18:04:13.000Z,"Anima DEBNATH @AnimaDEBNA78917 · 18h Almost 3 million Indians fought against fascism during WWII. Maximum of them fought in China-Burma- India theater. But India will not attend anti fascist victory parade. Because present India is glorifying fascist quisling Subhash Chandra Bose zeenews.india.com India Skips; Nepal, Pakistan Set To Attend Chinas World War Commemorative Event; Know Why China has invited not only Asian nations but also European countries to participate in the event. The celebration of the event has caused unease in Japan, with Tokyo reportedly reaching out to... 57",57,57,57
India fascist,/INCtheWay,2025-08-30T17:34:24.000Z,"INCtheWay @INCtheWay · 19h Replying to @sardesairajdeep Wow. True %. These fascist minds and their stooges, blind bhakts have been shamelessly playing boycott-boycott with multiple countries, followed by UTurn-UTurn. Feku & his uncouth, narcissistic cabal have ruined India 's #ForeignPolicy & the progress of 1.4bn lives. @INCIndia 1 1 13",1,1,1
India fascist,/4wd_vanguard,2025-08-30T16:13:24.000Z,"Vanguard @4wd_vanguard · 20h Commentary account Replying to @sabreenaGS With all due respect, I'd partially disagree with you, India has been a radical Hindutva state, but in the past it wasn't that mainstreamed. The very killing of Gandhi was by an RSS radical. Similarly even under Congress, fascist Hindus conducted the Golden Temple Massacre,… 1/n 2 60",2,2,2
India fascist,/SirLordHenry666,2025-08-30T15:55:25.000Z,"Lord Dalhousie @SirLordHenry666 · 21h Replying to @AhmedShahAzfar @AngkoLIfe and 4 others Who stated this FACT?? A fact created by disinfo peddlers can't be taken seriously.
And as for the world is concerned ... india is the greatest nation from Morocco to malacca .
Wtf you're on?? A muslim supremacist fascist shouldn't be pointing fingers at others. 2 81",2,2,2
Hindutva danger,/TheTrustedJL,2025-08-07T02:58:40.000Z,"The Trusted Journalist @TheTrustedJL · Aug 7 Replying to @LindseyGrahamSC and @realDonaldTrump Let’s understand Hindutva and Hindutvadis are a danger to the world. Stop #h1b visas and stop them from coming to US. Extreme vetting is needed @fbi @uscis @dhsgov @DHS_Wolf @WhiteHouse @SecRubio of Hindutva fundamentalist and ones already here needs to be deported. @ohiogop Quote Peek TV @PeekTV_in · Aug 5 Episode 2 of #TheBuriedBulletin - Stories Mainstream Media is Hiding From You

In a horrifying case from Karnataka’s Belagavi district, a Hindutva outfit leader made a Class 5 boy poison a Government school’s water tank to get the Muslim principal removed. #Belagavi 5 8 128",5,5,5
Hindutva danger,/YEthape,2025-08-06T18:29:34.000Z,YogiRocks\m/ @YEthape · Aug 6 Replying to @PsyOpValkyrie But is he saying hindutva in danger . Is he From BJP? Or warning Indians? 49,49,49,49
Hindutva danger,/SaraVellore,2025-08-06T06:20:04.000Z,வேலூர் சரவணன் @SaraVellore · Aug 6 Replying to @Hinduism_sci Yes Hindutva is danger . 2 247,2,2,2
Hindutva danger,/NitinNa26957405,2025-08-04T15:32:35.000Z,"Nitin Nayak @NitinNa26957405 · Aug 4 Replying to @SumitkadeI It is a danger sign that when a political party are mixing politics with religion. Thats where the terms are invented as Hindutva ,Sanatani and much more..... 1 40",1,1,1
Hindutva danger,/destinykid_18,2025-08-04T10:24:52.000Z,"Destiny Kid @destinykid_18 · Aug 4 Replying to @iamharunkhan This is Hindutva for you ladies and gentlemen! 

Biggest danger to the country. 2 220",2,2,2
Hindutva danger,/Mahakalbhakt428,2025-08-04T09:43:33.000Z,"स्वयं सेवक @Mahakalbhakt428 · Aug 4 Replying to @Akhand_Bharat_S भारत में एक Danger Narrative चलाया जा रहा है.... #CasteCounting इस #CasteReligioous के Funda में लेबनान बर्बाद हो गया है । 
भारत में यह लडाई Hindutva v/s Jatitva की है । 
जिसका उद्देश्य है भारत से #सनातन_संस्कृति को मिटाकर #जातीय_जनगणना के आधार पर,, ""देश का विभाजन"" करना है  । 2:02 2 2 28",2,2,2
Hindutva danger,/superlakshya,2025-08-04T05:51:07.000Z,lakshya varshney @superlakshya · Aug 4 Replying to @TARUNspeakss Hinduism and hindutva are in danger 7,7,7,7
Hindutva danger,/BokaThob2383,2025-08-04T05:32:26.000Z,"Dharmaji boka (Hindu) @BokaThob2383 · Aug 4 Replying to @Akhand_Bharat_S भारत में एक Danger Narrative चलाया जा रहा है.!!
Caste Counting

इस Caste Religioous के Funda में लेबनान बर्बाद हो गया है। 

भारत में यह लडाई Hindutva v/s Jatitva की है।
जिसका उद्देश्य है,भारत से सनातन संस्कृति को मिटाकर जाति के आधार पर,, ""देश का विभाजन""  करना है  
जागो हिंदुओं 13 9 59",13,13,13
Hindutva danger,/Rohtashkum2864,2025-08-04T04:55:15.000Z,"Rohtash Dahiya @Rohtashkum2864 · Aug 4 Replying to @Akhand_Bharat_S भारत में एक Danger Narrative चलाया जा रहा है..
Caste Counting
इसCaste ReligioousकेFunda में लेबनान बर्बाद हो गया है।
भारत में यह लडाई Hindutva v/sJatitva की है।
जिसका उद्देश्य भारत से सनातन संस्कृति को मिटाकर 
जाति केआधार पर,, ""देश का विभाजन""करना है। @narendramodi जी @Amitshah जी 12 8 59",12,12,12
Hindutva danger,/Vijay_Gautamm,2025-08-04T04:40:17.000Z,"Vijay Gautam @Vijay_Gautamm · Aug 4 Replying to @Akhand_Bharat_S भारत में एक Danger Narrative चलाया जा रहा है.... 
Caste Counting

इस Caste Religioous के Funda में लेबनान बर्बाद हो गया है । 

भारत में यह लडाई Hindutva v/s Jatitva की है । 
जिसका उद्देश्य है भारत से सनातन संस्कृति को मिटाकर जाति के आधार पर,, ""देश का विभाजन""  करना है  ।
कम Show more 21 15 127",21,21,21
Hindutva danger,/Akhand_Bharat_S,2025-08-04T04:10:01.000Z,"अखण्ड भारत संकल्प @Akhand_Bharat_S · Aug 4 भारत में एक Danger Narrative चलाया जा रहा है.... 
Caste Counting

इस Caste Religioous के Funda में लेबनान बर्बाद हो गया है । 

भारत में यह लडाई Hindutva v/s Jatitva की है । 
जिसका उद्देश्य है भारत से सनातन संस्कृति को मिटाकर जाति के आधार पर,, ""देश का विभाजन""  करना है  ।
कम Show more 18 212 218 1.8K",18,18,18
Hindutva danger,/archtick,2025-08-02T03:34:50.000Z,System Er. @archtick · Aug 2 Replying to @timesofindia Irish are smart. They know the hindutva danger . 6 192,6,6,6
Hindutva danger,/Anon20248469,2025-08-01T04:18:11.000Z,"Gandhi India @Anon20248469 · Aug 1 Replying to @iamJerusalem2 This is the result of.... 
India Church group airs controversial movie about danger of ‘love jihad’

This Hindutva terrorists will come after everyone.... Wake up Christians and Christian organisations and stop supporting Hindutva /RSS... 2 59",2,2,2
Hindutva danger,/Mel68475706,2025-07-31T22:34:57.000Z,"COIN @Mel68475706 · Aug 1 Replying to @AkaashSingh and @kushal_mehra Kushal Mehra is lying to your face - he hates Free speech ans supports the extra judicial killing of critics and Sikhs in the U.S. and Canada 

Mehra is a hinduta RSS supremacists. See @FriedrichPieter to learn about the danger of hindutva in North America @kushal_mehra needs Show more 1 7 38 427",1,1,1
Hindutva danger,/Albania253,2025-07-30T22:02:34.000Z,Al Aqdas Javaid @Albania253 · Jul 31 @narendramodi See below.Seems like hindutva RSS ideology is totally loose worldover-a danger to safety & peace! @PageBlank @MirwaizKashmir @RahulGandhi @DrSJaishankar @asadowaisi @OmarAbdullah @MehboobaMufti @PravinSawhney @realDonaldTrump @khanumarfa @ChinesePresXi @RepRashida https:// x.com/ashoswai/statu /ashoswai/status/1950620977559134389 … This post is unavailable. 21,21,21,21
Hindutva danger,Unknown,Unknown,This post is unavailable.,0,0,0
Hindutva danger,/Vajrasuci,2025-07-30T09:21:47.000Z,"Diamond Needle @Vajrasuci · Jul 30 Hindutva is not Hinduism. That's where you went wrong. Hinduism is an acid that corrodes Hindutva . Hinduism is a venom that has successfully paralyzed every reformist movement that sought to reinvent Hinduism. The greatest danger to Hindutva is not Islam or Christianity - It is Show more Quote Nyaksha @AstuteNyaksha · Jul 29 Replying to @Shashank_Dubey0 Hindutva isn’t a political slogan; it is the civilizational soul of Sanatan Dharma. It existed long before any Political Party. If today’s Govt sidelines it, that only exposes them and not Hindutva’s timeless relevance or its necessity for Hindu unity. 10 16 123 8.4K",10,10,10
Hindutva danger,/TheTrustedJL,2025-07-30T03:41:51.000Z,"The Trusted Journalist @TheTrustedJL · Jul 30 Replying to @NoticerNews Hindutva is a biggest danger to world @SenatorWong Quote Major Surendra Poonia @MajorPoonia · Jul 27 Do you know this ?
After the 26/11 Mumbai terror attacks, Rahul Gandhi told the US Ambassador- “Radical Hindu groups are a bigger threat than Lashkar-e-Taiba.” He even named PM Modi as a “divisive danger.”
He warned America, not Pakistan.
He blamed Hindus, not the terrorists who Show more 3 19",3,3,3
Hindutva danger,/starvibeX,2025-07-29T15:49:45.000Z,"starvibeX @starvibeX · Jul 29 Replying to @_PriyaSaha @ZulkarnainSaer and @bdjobs_com Because India is already in the hands of Hindutva extremists, Muslims like 71 will stand up to protect Bangladesh, and Hindus like 71 will flee, leaving Bangladesh in danger . 24",24,24,24
Hindutva danger,/TheTrustedJL,2025-07-29T01:43:23.000Z,"The Trusted Journalist @TheTrustedJL · Jul 29 Replying to @jamiljivani Hindutva is a danger to the west. The sooner @csiscanada @CanadianPM realize it the better it is. Quote Major Surendra Poonia @MajorPoonia · Jul 27 Do you know this ?
After the 26/11 Mumbai terror attacks, Rahul Gandhi told the US Ambassador- “Radical Hindu groups are a bigger threat than Lashkar-e-Taiba.” He even named PM Modi as a “divisive danger.”
He warned America, not Pakistan.
He blamed Hindus, not the terrorists who Show more 5 58",5,5,5
Hindutva danger,/TheTrustedJL,2025-07-29T01:39:03.000Z,"The Trusted Journalist @TheTrustedJL · Jul 29 Replying to @SuhagAShukla @AmericanKahani and @SunilAdam Hindutva is a danger to Americans. Investigations are done undercover. You will never know if you are being investigated. @HinduAmerican breached FARA numerous times and acts as an India agent on US soil. @AAGDhillon @TheJusticeDept @PamBondi must be paying attention I hope. Quote Major Surendra Poonia @MajorPoonia · Jul 27 Do you know this ?
After the 26/11 Mumbai terror attacks, Rahul Gandhi told the US Ambassador- “Radical Hindu groups are a bigger threat than Lashkar-e-Taiba.” He even named PM Modi as a “divisive danger.”
He warned America, not Pakistan.
He blamed Hindus, not the terrorists who Show more 9 131",9,9,9
Hindutva danger,/PremanandJohns5,2025-07-20T07:03:16.000Z,"Premanand @PremanandJohns5 · Jul 20 Replying to @mumbaicaptain and @vijaygajera Hindutva is in danger ,Indians are not .

Thats the difference. 13",13,13,13
Hindutva danger,/CommunistIndian,2025-07-19T22:37:32.000Z,Communist Indian @CommunistIndian · Jul 20 Replying to @shreya_arora22 Hatemongers and hooligans from the majority community is the danger everywhere. They are Islamist terrorists in Kashmir. They are Buddhist criminals in Sri Lank. They are Hindutva criminals in Gujarat. These terrorists destroy and prevent democracy from working for people. 27,27,27,27
Hindutva danger,/indigenous84,2025-07-19T17:01:55.000Z,ravan @indigenous84 · Jul 19 #Hindutva extremism is  a potential danger to world peace. 2 3 73,2,2,2
Hindutva danger,/indigenous84,2025-07-19T01:03:20.000Z,ravan @indigenous84 · Jul 19 Replying to @globalnewsto Such a weak law. He should be in jail and deportation. Hindutva extremism is a potential danger to Canadian citizens. It should be thoroughly investigated for #TransnationalRepression India 1 18,1,1,1
Hindutva danger,/PronabKumarDas4,2025-07-18T19:20:57.000Z,"Pronab Kumar Das @PronabKumarDas4 · Jul 19 Replying to @marineravin Ignorance or narrowness of ideas of political danger in present India with comparison to the present world politics.The soft hindutva is still working in Congress.
If Yeturi is alive then some self control may work in his mind.If he wants to win then he has to find friends. 1 94",1,1,1
Hindutva danger,/san_zaidi,2025-07-18T15:04:11.000Z,Syed Ahmad Nawaz Zaidi @san_zaidi · Jul 18 Replying to @jesuistouareg Exactly how in India the term “hindu khatre mei hai” (Hindus are in danger ) is often used to justify the persecution of muslims and Hindutva ideology. 613,613,613,613
Hindutva danger,/eulhaq551969,2025-07-17T14:54:49.000Z,"Ehtesham Ulhaq @eulhaq551969 · Jul 17 Replying to @sunshine_rahul India,s transformation to Hindutva is a real and present danger to minorities. Erasing everything which links to Muslims, christians, Sikhs is a well planned murder. 1 2 63",1,1,1
Hindutva danger,/gangu_belter,2025-07-17T10:00:51.000Z,"GANGU BELTER SANJAY MISHRA @gangu_belter · Jul 17 Replying to @ggganeshh BJP has backstabbed & proven that, it is DMK hiding under Hindutva . Government speaks shit, Bimarus & Hindian incels speak shit, Dravidioids speak shit, Muslims speak islamisation & danger . People make no sense in India sometimes. 2 20",2,2,2
Hindutva danger,/SyedZaeemZama,2025-07-17T06:01:01.000Z,Syed Zaeem Zama @SyedZaeemZama · Jul 17 Replying to @BesuraTaansane Why are you people so scared and insecured ? You need to tell people Bataoge to Katoge just to save your religion ? No religion is so weak. It's hindutva that is dividing people and is a danger to hindu religion 19,19,19,19
Hindutva danger,/Mitra61,2025-07-15T13:44:31.000Z,"Subrata Mitra @Mitra61 · Jul 15 Replying to @Mitra61 /2 
 
But their lives are not out of danger .

I'm closely watching #TheUdaipurFiles Hindutva Government just watching for years together. 48",48,48,48
Hindutva danger,/sankiyer,2025-07-15T05:31:45.000Z,"K Sanjay Iyer @sankiyer · Jul 15 Every person,like this teacher,who makes sense against Hindutva hegemony,warns of Hindutva dogmas,imparts wisdom that education is more important than behaving like the some unemployed Hindutva goons who are doing tandav on the roads are the “enemies of Hindu& a danger to Hindu”. Quote SANJAY HEGDE @sanjayuvacha · Jul 15 Hindu khatre mein hai? x.com/Benarasiyaa/st… 3 4 825",3,3,3
